EventTemplate,Occurrences
<*> alarm <*> type <*> when <*> <*> = <*>,listenerTag =null ,1
fingersense_touch_up() finished ,116
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=true,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,13
bssid=<*>:<*>:<*>:8d:f7:8e;freq=<*>;level=<*>;flags=<*>;ssid=PW_<*>.4G; ,1
isBluetoothScoOn... ,8
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> is <*> ,1
<*> <*> <*> <*> : <*> ,6
Sending <*> <*> <*> <*> <*> <*>:com.android.phone/<*> pkg com.android.phone ,1
exit keyguard:<*> ,3
<*>|setTodayTotalDetailSteps to Prefence todaySendorSteps=<*>##<*>##<*>##<*>##<*>##<*> ,1
mIsEffect:false ,4
setActionsBackground,null == view,mPrivateLayout ,7
<*> <*> = false <*> = false <*> = <*> ,1
huawei_common_set_parameters: exit with code(<*>) ,3
<*> <*> <*> <*> <*> <*> <*> <*> <*> to <*> ,1
AppAutoStartupPolicy:prevent start receiver <*> <*> <*> <*> <*> <*> ,4
<*> <*> <*> <*> <*> <*> <*> does not <*> <*> <*> <*> ,1
at com.huawei.svn.sdk.socket.SvnSocket.connect(SvnSocket.java:<*>) ,1
ready=false,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,4
AppAutoStartupPolicy:prevent start receiver of package <*> for action android.net.conn.CONNECTIVITY_CHANGE ,27
<*> exit with code(<*>) ,22
updateBarBgColor:emuiStyle=<*>,statusBarColor=#<*>,navigationBarColor=#<*>, isEmuiLight=-<*> ,3
<*> <*> <*> <*> <*> <*> <*> <*> est=<*> ,1
bssid=<*>:fc:<*>:7a:f3:b2;freq=<*>;level=<*>;flags=<*>;ssid=SD2; ,1
<*> <*> <*>, <*>), <*> <*> <*> ,7
<*> is not <*> <*> <*> ,9
can not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,4
ACDB -> <*> <*> ,6
<*> <*> <*> data: [<*>, <*> ,2
[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*> ,116
updateBarBgColor:emuiStyle=<*>,statusBarColor=#FFFCFCFC,navigationBarColor=#<*>, isEmuiLight=-<*> ,3
at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:<*>) ,1
ImsSenderRxr : <*> data: [<*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*> ,2
<*> <*> open file <*> line <*> of <*> ,2
<*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null vibrate=null sound=null <*> defaults=0x0 flags=0x2 color=0x00000000 <*> <*> <*> ,1
formatChinaDateTime equals. ,62
Proxy wakelock uid = <*> pid = <*> ,4
<*> <*> pid: <*>, euid: <*> ,6
<*> <*> <*> <*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x2 color=0x00000000 <*> <*> <*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> ,1
IEs - hexdump(len=<*>): <*> <*> <*> 6c <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 0b <*> 0c <*> <*> <*> <*> <*> <*> <*> <*> <*> ... ,1
Client requesting input be hidden, pid=<*> ,166
<*>| <*> <*> <*> ,5
actionUrl:http://<*>.<*>.<*>.<*>/dlv2/psrv01/hwdevlogbeta/<*>/<*>/<*>/<*>/<*>/37f4a36a-ff69-4d5a-a5fc-da027f5661c6.zip?resume ,1
BgPowerManagerService:onStartCommand ,1
enableDefaultTypeAPN= true ,1
<*> <*> <*> <*> <*> <*> <*> (has extras) } <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it ,85
onHeadsUpStateChanged:<*>|com.tencent.mm|<*>|null|<*> ,4
IEs - hexdump(len=<*>): <*> 0c <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 8b <*> <*> <*> <*> 6c <*> <*> 0d 2a <*> <*> <*> <*> ... ,1
getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI} ,3
<*>-<*>-<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
Report temperature: <*> temp :<*> report_threshold:<*> ,10
int android::IppAlgoSmartAE::doSmartAEAlgo(unsigned char *, void *, int, int, int) <*> = <*> ,9
<*> PendingIntentRecord{7f86237 com.huawei.espacev2 broadcastIntent}}) changed bounds; rebatching ,9
<*> <*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x2 color=0x00000000 <*> <*> <*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> ,1
<*> <*> due to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> eventTime=<*>, downTime=<*>, deviceId=<*>, <*> <*> ,2
IEs - hexdump(len=<*>): <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 0c <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 6c <*> <*> <*> <*> <*> <*> <*> ,1
<*> <*> <*> line <*> ,5
<*>|getTodayTotalSteps <*> ,289
<*>|logicalDealBroadcastEvent : Intent { <*> <*> <*> ,1
BlurBitmap draw super <*>.<*> ,1
<*> <*> <*> <*> = <*>, <*> = <*>, <*> <*> <*> <*> <*> <*> = <*> ,1
Split <*> <*> <*> <*> ,5
<*> <*> state = <*>, <*> <*> <*> <*> = <*>, <*> <*> = <*> ,2
Dispatching event to interface: wlan<*> ,11
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> id = <*> ,1
<*> <*> <*> <*> : <*> false ,9
NatTrafficNotifyService:delta byte = <*> no traffic delta = 0Traffic state is <*> ,9
[main-<*>]HwOucApplication--onCreate, end(hwouc/HwOucApplication.java:<*>) ,1
<*> <*> pid: <*> <*> <*> <*> pid: <*> ,3
BtChrStatisticsManager:READ_AFTER_BT_STARTED event. ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> screen off ,1
clearTetheredNotification ,1
Split enqueueing broadcast <*> <*> ,73
ProximitySensor, enable, <*>: en=<*> ,3
<*> <*> is <*> ,8
isSecondaryUser() end ,1
at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:<*>) ,1
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> cost <*> <*> ,2
GetAddrInfoHandler addr: <*> ,3
tcp.conn{<*>} TcpClientThread.onRecv(TcpClientThread.java:<*>) tcp connection event <*> ,3
onEntryAdded:<*>|com.android.incallui|<*>|null|<*>, group=<*>|com.android.incallui|<*>|null|<*> ,4
<*> <*> <*> running. ,1
qsc_start_app end ,2
updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true ,1
<*>|MSG_RECORD_DATA_TO_FILE_DELAY datas.size()=<*> ,5
Setting HAL <*> mode to true ,3
<*> intent Intent { <*> <*> (has extras) } on <*> <*> ,1
KGSvcCall onStartedGoingToSleep. ,1
N9ckTNpuQA+AHpOhnpK/dxCoVWrLp2nzLmDFPUMjsd2S3IEtxt4ONj3Kka4ncCsPPfVtgGOC856a ,1
C onDismissRequested reason = <*> ,2
<*> user=UserHandle{<*>} id=<*> tag=null <*> Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x62 color=0x00000000 vis=PRIVATE))) ,2
loss[<*>]=<*>%, volume=<*> ,20
value: http://logservice.vmall.com/osg/logServerAction!uf.htm?lsId=<*>&st=8GizDMFJTvMVAqA1o8peOOoOnD6yUZIPlgy6gbNIi3M%3D&dsKey=<*>&tblName=<*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> ms ,1
bssid=bc:d1:<*>:2e:<*>:<*>;freq=<*>;level=<*>;flags=<*>;ssid=MERCURY_<*>; ,2
CTRL-DEBUG: global_ctrl_sock-sendto: sock=<*> sndbuf=<*> outq=<*> send_len=<*> ,68
t=<*>,BT=<*>,DT=<*>,BT1=<*>,DT1=<*>,Bn=false,Dn=false,lx=[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>],mLx=<*>.<*>,s=<*>.<*>,ss=<*>.<*>,AuIntervened=false,mProximityState=false,bLux=<*>.<*>,dLux=<*>.<*>,bLux1=<*>.<*>,dLux1=<*>.<*> ,1
@@@@@@@@@@@@ uid <*> <*> <*> ,5
<*> <*> <*> <*> <*> is not in the enum map, name = <*> ,1
<*> <*> <*> - hexdump(len=<*>): [REMOVED] ,1
<*> XmlMsg.encodeBuf(XmlMsg.java:<*>) SEND <*> bytes <*> <*> ,24
<*> TcpClientThread.connectSocket(TcpClientThread.java:<*>) <*> <*> <*> <*> <*> ,1
color: #<*>; ,1
PFW.HwPFWService:mBroadcastReceiver action = <*> ,4
cancelNotificationLocked:<*>|com.sankuai.meituan|<*>|null|<*> ,3
setRestrictBackgroundLocked(): false ,5
ImsSenderRxr : <*> = true type = <*> <*> = <*> <*> <*> <*> ,2
becomeActiveLocked, reason = <*> ,6
handleNotifyWakingUp ,7
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> ,15
<*> <*> = -<*> ,6
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:FSM_OpenFile => <*> ,14
Skipping, withExcluded: false, tr.intent:Intent { <*> <*> (has extras) } ,1
<*> <*> user=UserHandle{<*>} id=<*> tag=null key=<*>|com.huawei.health|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x62 color=0x00000000 <*> <*> <*> <*> <*> <*> ,2
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,1
<*> updateGroupList <*> move high <*> <*> ,1
<*> = true ,11
removeNotificationViews:<*>|com.android.incallui|<*>|null|<*> ,3
PoiDetailActivity_resume_android.os.BinderProxy@11c0b0e ,1
BadgeContentObserver getBadgeNumber: <*> mComponentName <*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,130
cleanUpApplicationRecord -- <*> ,14
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,14
at android.content.ContentProvider.enforceReadPermissionInner(ContentProvider.java:<*>) ,2
Action: BatChange ,3
[ReceiverUtils.resumeLogUpload]resumeSend ,1
WatchThread{<*>} TcpClientThread.connect(TcpClientThread.java:<*>) will connect to uc.huawei.com:<*> ,12
sendMessage <*> ,43
setClipY <*> ,2
AppLogManager onCreate ,2
Get no-perm notification callback <*> ,2
stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*> ,15
CFG_DIRS length : <*> ,17
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,10
wlan0: Control <*> <*> <*> <*> ,1
acquire lock=<*>, flags=0x1, tag="*launch*", name=android, ws=WorkSource{<*>}, uid=<*>, pid=<*> ,9
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*> <*> id = <*> <*> <*> <*> <*> <*> ,2
handleDreamLocked ,17
platform_set_parameters: enter: - <*> ,3
<*> <*> <*> <*> mMaxValue=<*>, mMinValue=<*> ,3
trim and enqueue <*> <*> <*> <*> <*> ,6
mLogUploadInfo.getUploadErrCode(): ,1
int android::IppAlgoSmartAE::doSmartAEAlgo(unsigned char *, void *, int, int, int) <*> <*> <*> ,12
updateDisplayLocked: screenOn=false ,5
reset finish ,1
<*> <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*> ,1
refreshState=sound, RingModeState[,icon=null,label=null,labelTint=<*>,textChangedDelay=<*>,contentDescription=null,dualLabelContentDescription=null,minimalContentDescription=null,minimalAccessibilityClassName=null,expandedAccessibilityClassName=null,autoMirrorDrawable=false,disabledByPolicy=false,enforcedAdmin=null,value=false,mode=<*>] ,1
acquire lock=<*>, flags=0x1, <*> name=android, ws=null, uid=<*>, pid=<*> ,33
[CloudAlbumService] onBind ,1
onAcquired(<*>) ,11
<*> <*> device policy manager service. ,1
<*> msg = <*> received ,4
write:userId=<*>,mPosBrightness =<*>.<*>,mOffsetBrightness_last=<*>.<*>,mIsUserChange=false,mDeltaNew=<*>.<*>,mStartLuxDefaultBrightness=<*>.133335mLastLuxDefaultBrightness=<*>.<*>,mAmLux=<*>.<*> ,1
pool-<*>-thread-<*>{<*>} BaseBroadcast.sendBroadcast(BaseBroadcast.java:<*>) no <*> <*> <*> ,3
onNotificationPosted: StatusBarNotification(pkg=com.huawei.health user=UserHandle{<*>} id=<*> tag=null key=<*>|com.huawei.health|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 flags=0x62 color=0x00000000 vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*> ,62
PFW.HwPFWService:handle PFW_MSG_WAKEUP_TIMER ,2
report state:<*> event type:<*> pid:<*> uid:<*> pkg:null to pid: <*> ,34
Model onReceive user=UserHandle{<*>} ,16
LEAVE_OFFICE_REMINDER schedule ,1
collectReceiverComponents, callerApp: null, <*> receiver size:<*>, flags: <*> ,2
SND -> {<*> <*> <*> <*> <*> <*> ,4
queryIntentActivitiesAsUser size results:<*>, for <*> ,9
chinaDateTime:早上<*>:<*> ,13
<*> mBroadcastReceiver <*> ,1
<*> byte = <*> <*> <*> <*> <*> <*> <*> is <*> ,4
<*> <*> <*> is not <*> <*> <*> <*> ,5
APS brightness=<*>.<*>,ConvertToPercentage=NaN ,5
[UploadReceiver.doRun] sizeLimit=<*> ,1
mAmbientLuxValid=true,mWakeupFromSleep= false ,4
bh1745-light <*> <*> <*> <*> ms ,1
msg.recv{<*>} XmlMsg.decodeBuf(XmlMsg.java:<*>) RECV <*> bytes <*> <*> ,45
Reporting <*> <*> <*> <*> <*> <*> ,3
autohasloglist<*> ,2
<*> <*> <*> <*> <*> format <*>, channelMask <*>, flags <*> ,3
nz/Ctg/Kzmg0NppyjEl1fudEIGvS4jEskPmhCae01TyBl/gt8CPr5T+rTvADPbocxgHmIDzcn8gg ,1
HoldService:checkBeforeShowDialogWithPid, current <*> <*> <*> ,2
[UploadProgressUtils.queryProcessUploadItems]start ,1
<*> byte = <*>, <*> <*> ,1
setOccluded false ,1
WifiScanGenie handleWiFiDisconnected ,2
Split enqueueing broadcast [callerApp]:ProcessRecord{4ff57fc <*>:com.qualcomm.qcrilmsgtunnel/<*>} ,14
cancelNotificationLocked:<*>|com.android.mms|<*>|null|<*> ,1
start_output_stream: pcm_prepare ,1
<*> <*> pid: <*> is <*> <*> pid: <*> ,3
Display ready! ,14
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,3
at java.net.SocketInputStream.read(SocketInputStream.java:<*>) ,1
<*> <*> <*> <*> found in <*> <*> ,1
<*> <*> = <*> <*> = <*> ,5
checkNeedLivenessList:start ,3
setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> contentDescription:手机信号满格。 typeContentDescription:4G isTypeIconWide:true showActivity:true activityIn:true activityOut:false isRoaming:false ,8
check perfhub service fail! ,4
at com.android.providers.telephony.TelephonyProvider.query(TelephonyProvider.java:<*>) ,2
Destroying surface <*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.removeLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindow:<*> ,1
wifi_send_command: cmd:'IFNAME=wlan0 PKTCNT_POLL' ,4
tcp.recv{<*>} TcpClientThread.onReceiverWork(TcpClientThread.java:<*>) disconnected ,7
MagicLink2-BroadcastReceiver:====>NETWORK_STATE_CHANGED_ACTION ,5
<*> <*> reason = <*> ,10
<*> typeIcon:<*> <*> isSuspend:false, showDataIcon=true, dataConnected=true, isRoaming=false ,1
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*> failed to <*> <*> <*> <*> ,1
<*> <*> <*> of type <*> for Event <*>, with Raise=<*> ,1
<*> peeking: <*> <*> <*> ,1
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> <*> id is [<*>],ack id is [<*>]! ,1
Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:<*> android.content.ContextWrapper.sendBroadcast:<*> ah.onReceive:<*> f.run:<*> android.os.Handler.handleCallback:<*> ,1
<*> <*> <*> <*> <*> --> <*> <*> = false ,1
<*> surface <*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> <*> <*> <*> <*> <*> <*> ,1
monitorWifiNetworkState: stopped. ,1
<*> <*> ==================== TCP CLIENT CONNECT [<*>] ==================== ,2
AwareAppMngSort: <*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*> ,5
Finished business... ,15
<*> <*> <*> <*> <*> <*> = <*> <*> <*> <*> ,1
Change in state from: connected=true,enabled=true,level=<*>,inetCondition=<*>,iconGroup=IconGroup(4GPLUS),activityIn=false,activityOut=false,rssi=<*>,lastModified=<*>-<*> <*>:<*>:<*>,isRoaming=false,dataSim=true,networkName=中国移动,networkNameData=中国移动,dataConnected=true,isDefault=true,isEmergency=false,airplaneMode=false,carrierNetworkChangeMode=false,userSetup=true ,2
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,2
<*> <*> disconnecting to uc.huawei.com:<*> ,1
<*> <*> com.android.phone broadcastIntent}}) : type=<*> triggerAtTime=<*> win=<*> tElapsed=<*> maxElapsed=<*> interval=<*> flags=0x<*> ,1
mrc_cg_NiceFood_ippUnInitialize In! ,1
isSimPinSecure mSimDatas is null or empty ,34
<*> <*> android broadcastIntent}}) : type=<*> triggerAtTime=<*> win=<*> tElapsed=<*> maxElapsed=<*> interval=<*> flags=0x<*> ,12
<*> byte = <*> <*> <*> byte = <*> ,1
Watch Thread{<*>} WatchThread.onLoop(WatchThread.java:<*>) <*> <*> <*> <*> ,3
setSystemUiVisibility vis=<*> mask=ffffffff <*> <*> <*> ,1
<*>-<*> <*>:<*>:<*><浏览器>[com.android.browser]:[query]读取浏览器历史 ,9
<*> <*> <*> <*> <*> <*> <*> <*> <*> = <*>, <*> <*> <*> = <*> ,3
isCurrentBySim()=false ,905
search ,17
<*> <*> <*> <*> <*> <*> (has extras) } ,7
U3u67ywNm5ghfI8chYDb99teA82Kx7vEAoxkh6UtZfyFPb97Ut7D0+u8MevKzfaMgO+7dE6/lDYQ ,1
select_devices: done ,7
<*> cmd:'IFNAME=wlan0 <*> <*> <*> ,1
Launcher onStop() ,1
updateChargingLocked: charging=false ,11
ChargingSpeed Wattage: <*> ST: <*> --> <*> ,8
bssid=<*>:d3:8d:c6:c7:<*>;freq=<*>;level=<*>;flags=<*>;ssid=WirelessAP; ,1
acquire lock=<*>, flags=0x1, tag="hibernation", name=com.huawei.powergenie, ws=null, uid=<*>, pid=<*> ,10
presently, hw_update_color_temp_for_rg_led interface not achieved. ,339
<*> <*> = <*>-<*>-<*> <*>:<*>:<*> <*> = <*>-<*>-<*> <*>:<*>:<*> ,3
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,5
<*> <*> <*> target=com.android.internal.util.StateMachine$SmHandler } ,1
ois_process: OIS_GET_VIBRATE_STATUS ,5
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> is <*> ,9
<MCT >< INFO> <*>: <*> <*> <*> <*> <*> <*> <*> ,1
Received TIME_TICK alarm; rescheduling ,2
unproxy app:com.android.gallery3d,uid:<*>,result:true ,1
frz ok, pid: [<*>, <*>, <*> ,1
Watch Thread{<*>} LoginC.doWatch(LoginC.java:<*>) Login_By_Step-> watch <*> <*> <*> <*> ,1
set navBarVisible ,2
icon : com.baidu.input_huawei found in app ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,8
<*> TcpClientThread.onReceiverWork(TcpClientThread.java:<*>) <*> <*> <*> <*> ,1
<*> <*> <*> #<*> A=com.huawei.android.launcher U=<*> StackId=<*> sz=<*>}, <*> <*> #<*> A=com.tencent.mm U=<*> StackId=<*> sz=<*>}, <*> #<*> A=com.tencent.mm U=<*> StackId=<*> sz=<*>} ,1
<*> <*> <*> home data home 中国移动 中国移动 <*> 中国移动 中国移动 <*> <*> <*> <*> not supported <*> <*> RoamInd=<*> DefRoamInd=<*> EmergOnly=false IsDataRoamingFromRegistration=false ,1
Cannot call determinedVisibility() - never saw a connection for the pid: <*> ,294
RCV <- {<*> <*> <*> <*> ,3
onReceive, action:android.net.wifi.STATE_CHANGE ,10
[SocketRead_<*>:<*>:<*>-<*>]isSupportCtrlSocketV2, ctrlSocket(android/null:<*>) ,4
KGSvcCall onScreenTurningOn. ,5
[INFO:CONSOLE(<*>)] "Uncaught ReferenceError: WebViewJavascriptBridge is not defined", source: (<*>) ,271
[virtual void android::MediaPlayer::notify(int, int, int, const android::Parcel *)] : [<*>] <*> <*> <*> <*> ,2
Classify cgroup warning: No such process ,3
<*> void <*> uint32_t, const <*> void *) line <*> <*> ,1
https request. ,2
<*> code = <*> ,2
chinaDateTime:凌晨<*>:<*> ,1
at com.android.server.am.ActivityManagerService.finishReceiver(ActivityManagerService.java:<*>) ,1
key: nsp-callback ,1
read Events lux: <*>.<*> ,18
audio_extn_fbsp_set_parameters: Speaker protection disabled ,17
<*> <*> <*> <*> ......ID <*>,<*>-<*>,<*> <*> <*> ,3
<*> <*> <*> <*> <*> not supported <*> ,5
<*>|calculateCaloriesWithCache totalCalories=<*> ,15
getNextIndex: <*>; from <*> to <*>; size: <*> ,33
create: <*> ,65
<*> = <*> <*> = <*> <*> = <*> <*> = <*> ,1
Skipping, withExcluded: false, tr.intent:Intent { <*> <*> <*> <*> <*> (has extras) } ,6
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*> <*> <*> <*> <*> ,26
Welcome_destroy_tokennull ,1
<*> <*> <*> <*> <*> to <*> ,1
RCV <- {<*> <*> <*> <*> <*> <*> ,11
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,9
Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>:com.baidu.input_huawei/u0a74} ,5
font-size: 13px; ,1
fpc_tac_send_set_arbitrary_data_cmd:ok, response:<*> ,3
<*> <*> <*> void *, int, int, <*> char *, <*> <*> <*> <*> = <*>, <*> <*> <*> width = <*>, height = <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> = <*> ,1
<*> - hexdump(len=<*>): <*> <*> <*> <*> <*> 6f <*> <*> ,1
contentRanger[<*>,<*>] ,1
<*> <*> called by <*> V.ED..... ........ <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
notifyListenerHuawei::origin typeIcon:<*> icons.mName:4G isSuspend:false, <*> <*> <*> ,5
<*> <*> <*> <*> <*> <*> <*> to uc.huawei.com:<*> ,1
c: true, w: false, t: false, l: false ,219
dispatch ordered broadcast [background] <*> <*> <*> has <*> receivers ,81
handleNotifyScreenTurnedOff ,8
handleTimeUpdate ,19
<*> pid = <*>, <*> = <*> ,1
Moving <*> <*> <*> <*> <*> <*> <*> <*> <*> ,3
<*> <*> <*> = <*>, <*> = <*>, <*> = <*>, <*> <*> <*> <*> <*> <*> <*> <*> ,2
action:com.tencent.mm.plugin.report.service.KVCommCrossProcessReceiver, mPermissionType:<*> ,11
NormalTrafficAnalysis:alert byte = <*>, <*> <*> ,4
at com.huawei.keyguard.util.BitmapUtils.getColorInfo(BitmapUtils.java:<*>) ,4
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,5
[enter]handleLteMobileDataStateChange type=<*>,subType=<*> ,1
Model onReceive <*> { act=android.intent.action.TIME_TICK flg=0x50000014 (has extras) } ,4
WPS: attr type=0x1024 len=<*> ,45
out_standby: exit ,5
<*> <*> <*> due to <*> <*> <*> <*> ,1
Handler Thread:com.huawei.lcagent.service.LogTrack ,1
DisconnectedState enter ,1
Setting HAL interactive mode to <*> ,3
<*> <*> <*> <*> = <*>, <*> = false, <*> = false ,5
[ReceiverDispatcher-<*>]isSupportsMultipleUsers: true(android/null:<*>) ,2
<*> screen off <*> ,1
wlan0: Control interface command <*> <*> ,10
setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> contentDescription:手机信号满格。 typeContentDescription:4G isTypeIconWide:true <*> activityIn:false activityOut:false isRoaming:false ,5
